Authors,Author Full Names,Article Title,Source Title,Abstract,Publication Date,Publication Year,Volume,Issue,DOI,Pubmed Id
"Abd-Elsalam, S; Soliman, S; Esmail, ES; Khalaf, M; Mostafa, EF; Medhat, MA; Ahmed, OA; Abd El Ghafar, MS; Alboraie, M; Hassany, SM","Abd-Elsalam, Sherief; Soliman, Shaimaa; Esmail, Eslam Saber; Khalaf, Mai; Mostafa, Ehab F.; Medhat, Mohammed A.; Ahmed, Ossama Ashraf; Abd El Ghafar, Mohamed Samir; Alboraie, Mohamed; Hassany, Sahar M.","Do Zinc Supplements Enhance the Clinical Efficacy of Hydroxychloroquine?: a Randomized, Multicenter Trial",BIOLOGICAL TRACE ELEMENT RESEARCH,"No specific treatment for COVID-19 infection is available up till now, and there is a great urge for effective treatment to reduce morbidity and mortality during this pandemic. We aimed to evaluate the effect of combining chloroquine/hydroxychloroquine (CQ/HCQ) and zinc in the treatment of COVID-19 patients. This was a randomized clinical trial conducted at three major University hospitals in Egypt. One hundred ninety-one patients with a confirmed diagnosis of COVID-19 infection were randomized into two groups: group I (96) patients received both HCQ and zinc, and group II (95) received HCQ only. The primary endpoints were the recovery within 28 days, the need for mechanical ventilation, and death. The two groups were matched for age and gender. They had no significant difference regarding any of the baseline laboratory parameters or clinical severity grading. Clinical recovery after 28 days was achieved by 79.2% in the zinc group and 77.9% in zinc-free treatment group, without any significant difference (p = 0.969). The need for mechanical ventilation and the overall mortality rates did not show any significant difference between the 2 groups either (p = 0.537 and 0.986, respectively). The age of the patient and the need for mechanical ventilation were the only risk factors associated with the patients' mortality by the univariate regression analysis (p = 0.001 and < 0.001, respectively). Zinc supplements did not enhance the clinical efficacy of HCQ. More randomized studies are needed to evaluate the value of adding zinc to other therapies for COVID 19.",,,,,10.1007/s12011-020-02512-1,33247380
"Kozasa, EH; Lacerda, SS; Polissici, MA; Coelho, RD; Farias, GD; Chaves, P; Leao, ER","Kozasa, Elisa H.; Lacerda, Shirley S.; Polissici, Monica Aparecida; Coelho, Roseli da Silva; Farias, Gedeon da Silva; Chaves, Patricia; Leao, Eliseth R.",An Intervention to Increase Situational Awareness and the Culture of Mutual Care (Foco) and Its Effects During COVID-19 Pandemic: A Randomized Controlled Trial and Qualitative Analysis,FRONTIERS IN PSYCHIATRY,"Situational awareness is especially important to decision-making in health care. Comprehending the situation is crucial for anticipating any change in the environment and delivering optimal care. The objective of this study was to evaluate the effects of a training to increase situational awareness and mutual care designed for health care workers (FoCo) in a randomized controlled trial with additional qualitative analysis. We also investigated the perception of the training for the COVID-19 pandemic moment, in May 2020, almost 6 months after we finished the data collection at the Emergency Care Unit, which became a COVID-19 treatment reference for the care of a population depending on the public health system, in Sao Paulo, Brazil. We conclude that FoCo training can be an important instrument for health care professionals both in times of pandemic and normal times, to increase situational awareness, the culture of mutual care and decrease the possibility of occupational injuries and illnesses.",NOV 26,2020,11,,10.3389/fpsyt.2020.570786,33324250
"Wahlund, T; Mataix-Cols, D; Lauri, KO; de Schipper, E; Ljotsson, B; Aspvall, K; Andersson, E","Wahlund, Tove; Mataix-Cols, David; Olofsdotter Lauri, Klara; de Schipper, Elles; Ljotsson, Brjann; Aspvall, Kristina; Andersson, Erik",Brief Online Cognitive Behavioural Intervention for Dysfunctional Worry Related to the COVID-19 Pandemic: A Randomised Controlled Trial,PSYCHOTHERAPY AND PSYCHOSOMATICS,"Introduction: Worries about the immediate and long-term consequences of the COVID-19 pandemic may for some individuals develop into pervasive worry that is disproportionate in its intensity or duration and significantly interferes with everyday life. Objective: The aim of this study was to investigate if a brief self-guided, online psychological intervention can reduce the degree of dysfunctional worry related to the COVID-19 pandemic and associated symptoms. Methods: 670 adults from the Swedish general population reporting daily uncontrollable worry about CO-VID-19 and its possible consequences (e.g., illness, death, the economy, one's family) were randomised (1:1 ratio) to a 3-week self-guided, online cognitive behavioural intervention targeting dysfunctional COVID-19 worry and associated symptoms, or a waiting list of equal duration. The primary outcome measure was a COVID-19 adapted version of the Generalised Anxiety Disorder 7-item scale administered at baseline and weeks 1-3 (primary endpoint). Follow-up assessments were conducted 1 month after treatment completion. The trial was registered on ClinicalTrials.gov (NCT04341922) before inclusion of the first participant. Results: The main pre-specified intention-to-treat analysis indicated significant reductions in COVID-19-related worry for the intervention group compared to the waiting list (beta = 1.14, Z = 9.27, p < 0.001), corresponding to a medium effect size (bootstrapped d = 0.74 [95% CI: 0.58-0.90]). Improvements were also seen on all secondary measures, including mood, daily functioning, insomnia, and intolerance of uncertainty. Participant satisfaction was high. No serious adverse events were recorded. Conclusions: A brief digital and easily scalable self-guided psychological intervention can significantly reduce dysfunctional worry and associated behavioural symptoms related to the COVID-19 pandemic.",,,,,10.1159/000512843,33212440
"Berlivet, L; Lowy, I","Berlivet, Luc; Lowy, Ilana","Hydroxychloroquine Controversies: Clinical Trials, Epistemology, and the Democratization of Science",MEDICAL ANTHROPOLOGY QUARTERLY,"The claim that anti-malaria drugs, chloroquine and hydroxychloroquine, can cure COVID-19 became a focus of fierce political battles that pitted promoters of these pharmaceuticals, Presidents Bolsonaro and Trump among them, against medical elites. At the center of these battles are different meanings of effectiveness in medicine, the complex role of randomized clinical trials (RCTs) in proving such effectiveness, the task of medical experts and the state in regulating pharmaceuticals, patients' activism, and the collective production of medical knowledge. This article follows the trajectory of chloroquine and hydroxychloroquine as anti-COVID-19 drugs, focusing on the reception of views of their main scientific promoter, the French infectious disease specialist, Didier Raoult. The surprising career of these drugs, our text proposes, is fundamentally a political event, not in the narrow sense of engaging specific political fractions, but in the much broader sense of the politics of public participation in science.",DEC,2020,34,4,10.1111/maq.12622,33210338
"Psotka, MA; Abraham, WT; Fiuzat, M; Filippatos, G; Lindenfeld, J; Ahmad, T; Bhatt, AS; Carson, PE; Cleland, JGF; Felker, GM; Januzzi, JL; Kitzman, DW; Leifer, ES; Lewis, EF; McMurray, JJV; Mentz, RJ; Solomon, SD; Stockbridge, N; Teerlink, JR; Vaduganathan, M; Vardeny, O; Whellan, DJ; Wittes, J; Anker, SD; O'Connor, CM","Psotka, Mitchell A.; Abraham, William T.; Fiuzat, Mona; Filippatos, Gerasimos; Lindenfeld, JoAnn; Ahmad, Tariq; Bhatt, Ankeet S.; Carson, Peter E.; Cleland, John G. F.; Felker, G. Michael; Januzzi, James L., Jr.; Kitzman, Dalane W.; Leifer, Eric S.; Lewis, Eldrin F.; McMurray, John J. V.; Mentz, Robert J.; Solomon, Scott D.; Stockbridge, Norman; Teerlink, John R.; Vaduganathan, Muthiah; Vardeny, Orly; Whellan, David J.; Wittes, Janet; Anker, Stefan D.; O'Connor, Christopher M.",Conduct of Clinical Trials in the Era of COVID-19 JACC Scientific Expert Panel,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"The coronavirus disease-2019 (COVID-19) pandemic has profoundly changed clinical care and research, including the conduct of clinical trials, and the clinical research ecosystem will need to adapt to this transformed environment. The Heart Failure Academic Research Consortium is a partnership between the Heart Failure Collaboratory and the Academic Research Consortium, composed of academic investigators from the United States and Europe, patients, the U.S. Food and Drug Administration, the National Institutes of Health, and industry members. A series of meetings were convened to address the challenges caused by the COVID-19 pandemic, review options for maintaining or altering best practices, and establish key recommendations for the conduct and analysis of clinical trials for cardiovascular disease and heart failure. This paper summarizes the discussions and expert consensus recommendations. (C) 2020 The Authors. Published by Elsevier on behalf of the American College of Cardiology Foundation.",NOV 17,2020,76,20,10.1016/j.jacc.2020.09.544,33183511
"Lenze, EJ; Mattar, C; Zorumski, CF; Stevens, A; Schweiger, J; Nicol, GE; Miller, JP; Yang, L; Yingling, M; Avidan, MS; Reiersen, AM","Lenze, Eric J.; Mattar, Caline; Zorumski, Charles F.; Stevens, Angela; Schweiger, Julie; Nicol, Ginger E.; Miller, J. Philip; Yang, Lei; Yingling, Michael; Avidan, Michael S.; Reiersen, Angela M.",Fluvoxamine vs Placebo and Clinical Deterioration in Outpatients With Symptomatic COVID-19 A Randomized Clinical Trial,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"Importance Coronavirus disease 2019 (COVID-19) may lead to serious illness as a result of an excessive immune response. Fluvoxamine may prevent clinical deterioration by stimulating the sigma-1 receptor, which regulates cytokine production. Objective To determine whether fluvoxamine, given during mild COVID-19 illness, prevents clinical deterioration and decreases the severity of disease. Design, Setting, and Participants Double-blind, randomized, fully remote (contactless) clinical trial of fluvoxamine vs placebo. Participants were community-living, nonhospitalized adults with confirmed severe acute respiratory syndrome coronavirus 2 infection, with COVID-19 symptom onset within 7 days and oxygen saturation of 92% or greater. One hundred fifty-two participants were enrolled from the St Louis metropolitan area (Missouri and Illinois) from April 10, 2020, to August 5, 2020. The final date of follow-up was September 19, 2020. Interventions Participants were randomly assigned to receive 100 mg of fluvoxamine (n = 80) or placebo (n = 72) 3 times daily for 15 days. Main Outcomes and Measures The primary outcome was clinical deterioration within 15 days of randomization defined by meeting both criteria of (1) shortness of breath or hospitalization for shortness of breath or pneumonia and (2) oxygen saturation less than 92% on room air or need for supplemental oxygen to achieve oxygen saturation of 92% or greater. Results Of 152 patients who were randomized (mean [SD] age, 46 [13] years; 109 [72%] women), 115 (76%) completed the trial. Clinical deterioration occurred in 0 of 80 patients in the fluvoxamine group and in 6 of 72 patients in the placebo group (absolute difference, 8.7% [95% CI, 1.8%-16.4%] from survival analysis; log-rank P = .009). The fluvoxamine group had 1 serious adverse event and 11 other adverse events, whereas the placebo group had 6 serious adverse events and 12 other adverse events. Conclusions and Relevance In this preliminary study of adult outpatients with symptomatic COVID-19, patients treated with fluvoxamine, compared with placebo, had a lower likelihood of clinical deterioration over 15 days. However, the study is limited by a small sample size and short follow-up duration, and determination of clinical efficacy would require larger randomized trials with more definitive outcome measures. This randomized trial compares the effects of fluvoxamine, a selective serotonin reuptake inhibitor with immunomodulatory effects vs placebo on a composite of dyspnea or pneumonia and oxygen desaturation among adult outpatients with polymerase chain reaction-confirmed mild coronavirus disease 2019 (COVID-19) illness.",DEC 8,2020,324,22,10.1001/jama.2020.22760,33180097
"Dabbagh, A; Rajaei, S; Ghahremani, M; Fathi, M; Massoudi, N; Tavana, S; Fani, K; Nooraee, N; Alamdari, NM; Besharat, S; Abrandabadi, AN; Pirsalehi, A; Khatiri, MAK","Dabbagh, Ali; Rajaei, Samira; Ghahremani, Mehdi; Fathi, Mohammad; Massoudi, Nilofar; Tavana, Sasan; Fani, Kamal; Nooraee, Navid; Alamdari, Nasser Malekpour; Besharat, Sara; Abrandabadi, Arash Najafi; Pirsalehi, Ali; Khatiri, Mohammad Ali Khabiri",The effect of surfactant on clinical outcome of patients with COVID-19 under mechanical ventilation: A structured summary of a study protocol for a randomised controlled trial,TRIALS,"ObjectivesAssessing the effect of surfactant on clinical outcome in patients with COVID-19 under mechanical ventilationTrial designSingle centre, two arm, parallel group (1:1 allocation ratio), randomised superiority trial with blinded care and outcome assessment.ParticipantsInclusion criteria: Adult COVID-19 patients admitted to the ICU in Modarres hospital, Tehran, Iran (age range of 18 to 99 years) with moderate to severe ARDS (based on definition of P/F ratio) requiring auxiliary respiratory devices (either intubation or face mask).Exclusion criteria:. Existence of a major underlying pulmonary disease in addition to COVID-19. Underlying congenital heart disease. Patients needing extracorporeal membrane oxygenation (ECMO). ARDS primarily due to any other reason rather than COVID-19. The primary source of pulmonary involvement was bacterial pneumonia or any other etiology except for COVID-10 induced lung involvement. Those who refused to continue the study (either the patient or their family). any patient had any sign of healing before entering the study leading to discharge from ICU in less than 12 hoursIntervention and comparatorIn the intervention group, the dose of the drug is a vial containing 4 ml, equivalent to 100 mg, which is prescribed for an adult weighing about 70 kg each time, and if the patient's weight is much lower or higher, it will be adjusted accordingly. Surfactant is prescribed inside the trachea in two doses, starting on the day of intubation with a second dose 6 hours later. The control group will receive the same volume of normal saline, based on weight, administered into the trachea with the same time schedule.Main outcomes30 days mortality; patient mortality during stay in ICU up to 30 days; ICU length of stay up to 30 days; Time under mechanical ventilation up to 30 days.RandomisationAfter the participant enters the study, i.e. after the qualification of the patients in the trial is confirmed and their informed written consent is taken, we will use a simple randomisation method using a table of random numbers. In order to hide the random allocation process, a central randomisation approach will be used and the random sequence will be at the disposal of one of the researchers, excluding the principal investigator.Blinding (masking)Participants, healthcare providers and the principal investigator assessing the outcomes will all be blinded to the group assignment.Numbers to be randomised (sample size)A total of 60 participants will be randomised in a 1:1 allocation ratio (30 patients allocated to the intervention group and 30 patients allocated to the control group).Trial StatusThe protocol is Version 1.0, May 31, 2020. Recruitment began July 30, 2020, and is anticipated to be completed by October 30, 2020.Trial registrationIRCT registration number: IRCT20091201002804N12Registration date: 1st June 2020, 1399/03/12Full protocolThe full protocol is attached as an additional file, accessible from the Trials website (Additional file 1). In the interest in expediting dissemination of this material, the familiar formatting has been eliminated; this Letter serves as a summary of the key elements of the full protocol.",NOV 11,2020,21,1,10.1186/s13063-020-04815-z,33176850
"Lins, PRG; de Albuquerque, CCC; Assis, CF; Rodrigues, BCD; Campos, BPES; Valle, ED; Cabrera, CPS; Gois, JD; Segura, GC; Strufaldi, FL; Mainardes, LC; Ribeiro, RG; Cortes, DDVR; Lutf, LG; de Oliveira, MFA; Sales, GTM; Smolentzov, I; Reichert, BV; Andrade, L; Seabra, VF; Rodrigues, CE","Gessolo Lins, Paulo Ricardo; de Albuquerque, Claudia Coimbra Cesar; Assis, Camila Fernandes; Duarte Rodrigues, Bruna Cristine; Pinto e Siqueira Campos, Beatriz; Valle, Eduardo de Oliveira; Sandoval Cabrera, Carla Paulina; Gois, Jeison de Oliveira; Segura, Gabriela Cardoso; Strufaldi, Fernando Louzada; Mainardes, Lorena Catelan; Ribeiro, Rayra Gomes; Via Reque Cortes, Daniela Del Pilar; Lutf, Luciana Gil; Arantes de Oliveira, Marcia Fernanda; Montezuma Sales, Gabriel Teixeira; Smolentzov, Igor; Reichert, Bernardo Vergara; Andrade, Lucia; Seabra, Victor Faria; Rodrigues, Camila Eleuterio",Cov-hep study: heparin in standard anticoagulation based on citrate for continuous veno-venous hemodialysis in patients with COVID-19: a structured summary of a study protocol for a randomized controlled trial,TRIALS,"ObjectivesThe primary objective is to test if heparin added to a standard regional anticoagulation protocol based on citrate is able to reduce dialysis circuit losses by clotting without increasing the risk of thrombocytopenia or bleeding, in patients with COVID-19 with acute kidney injury requiring dialysis.Trial designRandomized, parallel-group, open-label trial, with two arms (ratio 1:1) comparing different continuous renal replacement therapy anticoagulation strategies.ParticipantsEligibility conditions:All ICU patients of University of Sao Paulo General Hospital (Hospital das Clinicas), Brazil will be screened for eligibility conditions.Adults (> 18 years old) with confirmed COVID-19 and acute kidney injury requiring dialysis with agreement between ICU and nephrology teams for the introduction of renal continuous replacement therapy in daily ICU rounds. Continuous renal replacement therapy will be prescribed by consulting nephrologists based on standard clinical guidelines, including acute kidney injury with hemodynamic instability plus hyperkalemia, severe acidosis, volume overload, respiratory distress, multiorgan failure or some combination of these factors.Data Collection:Patients demographics and associated clinical data and comorbidities will be recorded at ICU entry. Demographic information will include the patient's age, sex, and admission dates. Clinical data comprise comorbidities, APACHE 2, SAPS 3, need for mechanical ventilation, and use of vasopressor drugs. Physiological data collected by the day of CRRT start will be vital signs, the arterial oxygen tension/fraction of inspired oxygen (PaO2/FiO2) index, and serum creatinine, blood urea nitrogen, bilirubin, hemoglobin, hematocrit, platelets, white blood cell count levels and Peak D-dimer levels.Patients will be analyzed for the first 72h of CRRT, and they will be evaluated regarding clinical variables, filter patency and any adverse events that could be related to the anticoagulation choice, as bleeding (mild or major) or low platelets counts (<100.000 ui/uL) during treatment period. Mild and major bleeding will be defined by hemorrhagic event without clinical impact or hemoglobin (Hb) fall lesser than 1g/dL and hemorrhagic event with clinical impact or Hb fall higher than 1g/dL, respectively.Exclusion criteria:Hypersensitivity to any of the substances going to be used in the study (Citric acid dextrosol 2.2% and unfractionated heparin); Previous diagnosis of coagulopathy or thrombophilia; Contraindication to the use of unfractionated heparin; Risk of citrate poisoning - (Lactate> 30 mg/dL, international normalized ratio > 2.5, Total bilirubin> 15 mg/dL); Pregnancy; Patients unlikely to survive for more than 24 hours.The trial is being undertaken at the University of Sao Paulo General Hospital (Hospital das Clinicas), Brazil.Intervention and comparatorGroup A (control) - Patients on continuous renal replacement therapy (blood flow 150 ml/min, dose of 30 mL/Kg/h) receiving anticoagulation with sodium citrate at 4 mmol/LGroup B (experiment): Patients on continuous hemodialysis (blood flow 150 mL/min, dose of 30 mL/Kg/h) receiving anticoagulation with sodium citrate at 4 mmol/L associated with unfractionated heparin at 10 U/Kg/h. Main outcomesThe percentage of clotted dialyzers within 72 hours in each of the studied groups (Primary outcome)Secondary outcomes: Number of dialyzers used in the first 72 hours of dialysis protocol, Mortality in the first 72 h of dialysis protocol, Bleeding events (Major or minor) in the first 72 h of dialysis protocol, Thrombocytopenia (less than 50.000 platelets) proportion in the first 72 h of dialysis protocol, Dialysis efficiency (Urea sieving) - variation in urea sieving between the first, second and third days of dialysis protocol, Continuous renal replacement therapy pressures (Arterial, Venous, dialysate and pre-filter pressure) in the first 72 h of dialysis protocol, in-hospital mortality.RandomizationRedCap -> randomization - 2 blocks randomization by D-dimer level (5000ng/dL cut-off) and catheter site (Right Internal Jugular versus other sites) with 1:1 allocation ratio.Blinding (masking)No blinding - Open label formatNumbers to be randomized (sample size)Total number of patients 90 (45 per group)Trial StatusTrial version 2.0 - ongoing recruitment.First recruitment: June 29, 2020Estimated date for last recruitment: December 31, 2020Trial registrationResponsible Party: University of Sao Paulo General Hospital (Hospital das Clinicas)ClinicalTrials.gov Identifier: NCT04487990, registered July 27, 2020, ReBec www.ensaiosclinicos.gov.br/rg/RBR-45kf9p/Other Study ID Numbers: U1111-1252-0194Full protocolThe full protocol is attached as an additional file, accessible from the Trials website (Additional file 1) In the interest in expediting dissemination of this material, the familiar formatting has been eliminated; this Letter serves as a summary of the key elements of the full protocol.",NOV 11,2020,21,1,10.1186/s13063-020-04814-0,33176886
"Suppan, L; Stuby, L; Gartner, B; Larribau, R; Iten, A; Abbas, M; Harbarth, S; Suppan, M","Suppan, Laurent; Stuby, Loric; Gartner, Birgit; Larribau, Robert; Iten, Anne; Abbas, Mohamed; Harbarth, Stephan; Suppan, Melanie",Impact of an e-learning module on personal protective equipment knowledge in student paramedics: a randomized controlled trial,ANTIMICROBIAL RESISTANCE AND INFECTION CONTROL,"Background Prehospital professionals such as emergency physicians or paramedics must be able to choose and adequately don and doff personal protective equipment (PPE) in order to avoid COVID-19 infection. Our aim was to evaluate the impact of a gamified e-learning module on adequacy of PPE in student paramedics. Methods This was a web-based, randomized 1:1, parallel-group, triple-blind controlled trial. Student paramedics from three Swiss schools were invited to participate. They were informed they would be presented with both an e-learning module and an abridged version of the current regional prehospital COVID-19 guidelines, albeit not in which order. After a set of 22 questions designed to assess baseline knowledge, the control group was shown the guidelines before answering a set of 14 post-intervention questions. The e-learning group was shown the gamified e-learning module right after the guidelines, and before answering post-intervention questions. The primary outcome was the difference in the percentage of adequate choices of PPE before and after the intervention. Results The participation rate was of 71% (98/138). A total of 90 answer sets was analyzed. Adequate choice of PPE increased significantly both in the control (50% [33;83] vs 25% [25;50], P = .013) and in the e-learning group (67% [50;83] vs 25% [25;50], P = .001) following the intervention. Though the median of the difference was higher in the e-learning group, there was no statistically significant superiority over the control (33% [0;58] vs 17% [- 17;42], P = .087). The e-learning module was of greatest benefit in the subgroup of student paramedics who were actively working in an ambulance company (42% [8;58] vs 25% [- 17;42], P = 0.021). There was no significant effect in student paramedics who were not actively working in an ambulance service (0% [- 25;33] vs 17% [- 8;50], P = .584). Conclusions The use of a gamified e-learning module increases the rate of adequate choice of PPE only among student paramedics actively working in an ambulance service. In this subgroup, combining this teaching modality with other interventions might help spare PPE and efficiently protect against COVID-19 infection.",NOV 10,2020,9,1,10.1186/s13756-020-00849-9,33168097
"Markovic, MV; Bjekic, J; Priebe, S","Vukcevic Markovic, Masa; Bjekic, Jovana; Priebe, Stefan",Effectiveness of Expressive Writing in the Reduction of Psychological Distress During the COVID-19 Pandemic: A Randomized Controlled Trial,FRONTIERS IN PSYCHOLOGY,"Objective Due to the wide impact of the COVID-19 pandemic on mental health, the need for scalable interventions that can effectively reduce psychological distress has been recognized. Expressive writing (EW) can be beneficial for different conditions, including depression, suicidal ideation, and coping with trauma. Therefore, we aim to assess the applicability and effectiveness of an online format of EW in the reduction of psychological distress in context of the COVID-19 pandemic. Methods In this parallel-group, randomized controlled trial, participants (n = 120) were randomly allocated to (1) the intervention group-who completed five EW sessions over the 2 week period-or (2) the control group-who received treatment as usual (TAU). Participants were assessed for primary and secondary outcome measures at baseline, post-treatment, and follow-up-1-month after the treatment. The primary outcome was severity of psychological distress assessed at post-treatment, operationalized as Depression Anxiety Stress Scale (DASS) summary score. Secondary outcomes were severity of depression, anxiety, and stress (DASS subscale scores), well-being (WHO-5), subjective perception of quality of life (SQOL), and subjective evaluation of difficulties coping with pandemic, which were also assessed at post-treatment. Per protocol, analysis was conducted with available cases only. Results A less favorable outcome was found in the intervention group on psychological distress, and symptoms of stress, after controlling for baseline scores. Increased stress was recorded in the treatment group, with no effect in the control group. There was no significant difference between the groups on depression, anxiety, well-being, and subjective quality of life. No group effect for any of the outcomes measures was recorded at follow-up. Additional analysis revealed moderation effects of age and gender with older and male participants scoring higher on distress measures. Conclusion Engaging in EW during the pandemic was found to elevate stress; thus, when applied in the context of the COVID-19 pandemic, it may be harmful. Hence, EW or similar self-guided interventions should not be applied without prior evidence on their effects in the context of a pandemic and similar stressful and unpredictable circumstances.",NOV 10,2020,11,,10.3389/fpsyg.2020.587282,33240180
"Araimo, F; Imperiale, C; Tordiglione, P; Ceccarelli, G; Borrazzo, C; Alessandri, F; Santinelli, L; Innocenti, GP; Pinacchio, C; Mauro, V; Recchia, GE; Zancla, S; Calo, A; Poscia, R; Ruberto, F; d'Ettorre, G; Bilotta, F; Mastroianni, C; Pugliese, F","Araimo, Fabio; Imperiale, Carmela; Tordiglione, Paolo; Ceccarelli, Giancarlo; Borrazzo, Cristian; Alessandri, Francesco; Santinelli, Letizia; Innocenti, Giuseppe Pietro; Pinacchio, Claudia; Mauro, Vera; Recchia, Gregorio Egidio; Zancla, Serena; Calo, Andrea; Poscia, Roberto; Ruberto, Franco; d'Ettorre, Gabriella; Bilotta, Federico; Mastroianni, Claudio; Pugliese, Francesco",Ozone as adjuvant support in the treatment of COVID-19: A preliminary report of probiozovid trial,JOURNAL OF MEDICAL VIROLOGY,"The evaluation of new therapeutic resources against coronavirus disease 2019 (COVID-19) represents a priority in clinical research considering the minimal options currently available. To evaluate the adjuvant use of systemic oxygen-ozone administration in the early control of disease progression in patients with COVID-19 pneumonia. PROBIOZOVID is an ongoing, interventional, randomized, prospective, and double-arm trial enrolling patient with COVID-19 pneumonia. From a total of 85 patients screened, 28 were recruited. Patients were randomly divided into ozone-autohemotherapy group (14) and control group (14). The procedure consisted in a daily double-treatment with systemic Oxygen-ozone administration for 7 days. All patients were treated with ad interim best available therapy. The primary outcome was delta in the number of patients requiring orotracheal-intubation despite treatment. Secondary outcome was the difference of mortality between the two groups. Moreover, hematological parameters were compared before and after treatment. No differences in the characteristics between groups were observed at baseline. As a preliminary report we have observed that one patient for each group needed intubation and was transferred to ITU. No deaths were observed at 7-14 days of follow up. Thirty-day mortality was 8.3% for ozone group and 10% for controls. Ozone therapy did not significantly influence inflammation markers, hematology profile, and lymphocyte subpopulations of patients treated. Ozone therapy had an impact on the need for the ventilatory support, although did not reach statistical significance. Finally, no adverse events related to the use of ozone-autohemotherapy were reported. Preliminary results, although not showing statistically significant benefits of ozone on COVID-19, did not report any toxicity.",,,,,10.1002/jmv.26636,33111980
"Munoz-Alcaraz, MN; Perula-de-Torres, LA; Serrano-Merino, J; Jimenez-Vilchez, AJ; Olmo-Carmona, MV; Munoz-Garcia, MT; Bartolome-Moreno, C; Olivan-Blazquez, B; Magallon-Botaya, R","Nieves Munoz-Alcaraz, Maria; Angel Perula-de-Torres, Luis; Serrano-Merino, Jesus; Jose Jimenez-Vilchez, Antonio; Victoria Olmo-Carmona, Maria; Teresa Munoz-Garcia, Maria; Bartolome-Moreno, Cruz; Olivan-Blazquez, Barbara; Magallon-Botaya, Rosa","Efficacy and efficiency of a new therapeutic approach based on activity-oriented proprioceptive antiedema therapy (TAPA) for edema reduction and improved occupational performance in the rehabilitation of breast cancer-related arm lymphedema in women: a controlled, randomized clinical trial",BMC CANCER,"BackgroundBreast cancer (BC) is a major public health issue. More than one out of five women treated for breast cancer will develop lymphedema in an upper extremity. Current evidence advocates transdisciplinary oncological rehabilitation. Therefore, research in this area is necessary since limited consensus having been reached with regard to the basic essential components of this rehabilitation.Consensus has, however, been reached on the use of decongestive lymphedema therapy (DLT), but due to a lack of tests, the necessary dosages are unknown and its level is moderately strong.This study attempts to verify both the efficacy of activity-oriented proprioceptive antiedema therapy (TAPA), as compared to conventional treatments such as DLT or Complex Physical Therapy (CPT), as well as its efficiency in terms of cost-effectiveness, for patients affected by breast cancer-related arm lymphedema.MethodsControlled, randomized clinical trial with dual stratification, two parallel arms, longitudinal and single blind. 64 women with breast cancer-related arm lymphedema will take part in the study. The experimental group intervention will be the same for stage I and II, and will consist of neuro-dynamic exercises oriented to the activity, proprioceptive neuromuscular facilitation activities and proprioceptive anti-edema bandaging. The control group intervention, depending on the stage, will consist of preventive measures, skin care and exercise-prescribed training in the lymphedema workshop as well as compression garments (Stage I) or conservative Complex Decongestive Therapy treatment (skin care, multi-layer bandaging, manual lymphatic drainage and massage therapy) (Stage II).ResultsSociodemographic and clinical variables will be collected for the measurement of edema volume and ADL performance. Statistical analysis will be performed on intent to treat.DiscussionIt has been recommended that patient training be added to DLT, as well as a re-designing of patient lifestyles and the promotion of health-related aspects. In addition, clinical trials should be undertaken to assess neural mobilization techniques and proprioceptive neuromuscular facilitation should be included in the therapy. Cohesive bandaging will also be performed as an early form of pressotherapy. The proposed study combines all of these aspects in order to increased comfort and promote the participation of individuals with lymphedema in everyday situations.LimitationsThe authors have proposed the assessment of the experimental treatment for stages I and II. One possible limitation is the lack of awareness of whether or not this treatment would be effective for other stages as well as the concern for proper hand cleansing during use of bandages, given the current COVID-19 pandemic situation.Trial registrationThis trial was registered in ClinicalTrials.gov (NCT03762044). Date of registration: 23 November 2018. Prospectively Registered.",NOV 9,2020,20,1,10.1186/s12885-020-07558-x,33167921
