Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2021
"Risk-Based Monitoring in Clinical Trials: Past, Present, and Future","Barnes, Brian; Stansbury, Nicole; Brown, Debby; Garson, Lauren; Gerard, Geoff; Piccoli, Nickolas; Jendrasek, Debra; May, Nick; Castillo, Vanesa; Adelfio, Anina; Ramirez, Nycole; McSweeney, Andrea; Berlien, Ruth; Butler, Paula Jo",,,,THERAPEUTIC INNOVATION & REGULATORY SCIENCE,,2021,,,,,,,,,10.1007/s43441-021-00295-8,,,0,0,0
Assessing vaccine durability in randomized trials following placebo crossover,"Fintzi, Jonathan; Follmann, Dean",,,,STATISTICS IN MEDICINE,,2021,,,,,,,,,10.1002/sim.9001,,,0,0,0
Telemanagement of Home-Isolated COVID-19 Patients Using Oxygen Therapy With Noninvasive Positive Pressure Ventilation and Physical Therapy Techniques: Randomized Clinical Trial,"Adly, Aya Sedky; Adly, Mahmoud Sedky; Adly, Afnan Sedky",,,,JOURNAL OF MEDICAL INTERNET RESEARCH,APR 28 2021,2021,23,4,,,,,,e23446,10.2196/23446,,,0,0,0
"Effects of Shuanghuanglian oral liquids on patients with COVID-19: a randomized, open-label, parallel-controlled, multicenter clinical trial","Ni, Li; Wen, Zheng; Hu, Xiaowen; Tang, Wei; Wang, Haisheng; Zhou, Ling; Wu, Lujin; Wang, Hong; Xu, Chang; Xu, Xizhen; Xiao, Zhichao; Li, Zongzhe; Li, Chene; Liu, Yujian; Duan, Jialin; Chen, Chen; Li, Dan; Zhang, Runhua; Li, Jinliang; Yi, Yongxiang; Huang, Wei; Chen, Yanyan; Zhao, Jianping; Zuo, Jianping; Weng, Jianping; Jiang, Hualiang; Wang, Dao Wen",,,,FRONTIERS OF MEDICINE,,2021,,,,,,,,,10.1007/s11684-021-0853-6,,,0,0,0
An open-label randomized controlled trial evaluating the efficacy of chloroquine/hydroxychloroquine in severe COVID-19 patients,"Rea-Neto, Alvaro; Bernardelli, Rafaella Stradiotto; Dzivielevski Camara, Bruna Martins; Reese, Fernanda Baeumle; Oliveira Queiroga, Marcos Vinicius; Oliveira, Mirella Cristine",,,,SCIENTIFIC REPORTS,APR 27 2021,2021,11,1,,,,,,9023,10.1038/s41598-021-88509-9,,,0,0,0
A Phase 3 Trial Analysis Proposal for Mitigating the Impact of the COVID-19 Pandemic,"Hua, Eva; Janocha, Reinhold; Severin, Thomas; Wei, Jiawei; Vandemeulebroecke, Marc",,,,STATISTICS IN BIOPHARMACEUTICAL RESEARCH,,2021,,,,,,,,,10.1080/19466315.2021.1905056,,,0,0,0
Follow-up to a randomized controlled trial of the effect of self-affirmation on anxiety during the COVID-19 pandemic,"Li, Shifeng; Xu, Qingying; Zhou, Aibao",,,,PSYCHOLOGY HEALTH & MEDICINE,,2021,,,,,,,,,10.1080/13548506.2021.1917770,,,0,0,0
"The social experience of participation in a COVID-19 vaccine trial: Subjects' motivations, others' concerns, and insights for vaccine promotion","Wentzell, Emily; Racila, Ana-Monica",,,,VACCINE,APR 22 2021,2021,39,17,,,,2445,2451,,10.1016/j.vaccine.2021.03.036,,,0,0,0
Effect of Early Treatment With Hydroxychloroquine or Lopinavir and Ritonavir on Risk of Hospitalization Among Patients With COVID-19 The TOGETHER Randomized Clinical Trial,"Reis, Gilmar; dos Santos Moreira Silva, Eduardo Augusto; Medeiros Silva, Daniela Carla; Thabane, Lehana; Singh, Gurmit; Park, Jay J. H.; Forrest, Jamie, I; Harari, Ofir; Quirino dos Santos, Castilho Vitor; Figueiredo Guimaraes de Almeida, Ana Paula; de Figueiredo Neto, Adhemar Dias; Monteiro Savassi, Leonardo Cancado; Milagres, Aline Cruz; Teixeira, Mauro Martins; Campos Simplicio, Maria Izabel; Ribeiro, Luciene Barra; Oliveira, Rosemary; Mills, Edward J.",TOGETHER Investigators,,,JAMA NETWORK OPEN,APR 22 2021,2021,4,4,,,,,,e216468,10.1001/jamanetworkopen.2021.6468,,,0,0,0
"Donors for SARS-CoV-2 Convalescent Plasma for a Controlled Clinical Trial: Donor Characteristics, Content and Time Course of SARS-CoV-2 Neutralizing Antibodies","Koerper, Sixten; Jahrsdoerfer, Bernd; Corman, Victor M.; Pilch, Jan; Wuchter, Patrick; Blasczyk, Rainer; Mueller, Rebecca; Tonn, Torsten; Bakchoul, Tamam; Schaefer, Richard; Juhl, David; Schwarz, Tatjana; Goedecke, Nina; Burkhardt, Thomas; Schmidt, Michael; Appl, Thomas; Eichler, Hermann; Klueter, Harald; Drosten, Christian; Seifried, Erhard; Schrezenmeier, Hubert",,,,TRANSFUSION MEDICINE AND HEMOTHERAPY,,2021,,,,,,,,,10.1159/000515610,,,0,0,0
Personalized collection of plasma from healthy donors: A randomized controlled trial of a novel technology-enabled nomogram,"Hartmann, Jan; Ragusa, Michael J.; Burchardt, Elmar R.; Manukyan, Zorayr; Popovsky, Mark A.; Leitman, Susan F.",,,,TRANSFUSION,,2021,,,,,,,,,10.1111/trf.16389,,,0,0,0
The UPTAKE study: implications for the future of COVID-19 vaccination trial recruitment in UK and beyond,"Sethi, Sonika; Kumar, Aditi; Mandal, Anandadeep; Shaikh, Mohammed; Hall, Claire A.; Kirk, Jeremy M. W.; Moss, Paul; Brookes, Matthew J.; Basu, Supratik",,,,TRIALS,APR 20 2021,2021,22,1,,,,,,296,10.1186/s13063-021-05250-4,,,0,0,0
Intermediate-Dose versus Standard-Dose Prophylactic Anticoagulation in Patients with COVID-19 Admitted to the Intensive Care Unit: 90-Day Results from the INSPIRATION Randomized Trial,"Bikdeli, Behnood; Talasaz, Azita H.; Rashidi, Farid; Bakhshandeh, Hooman; Rafiee, Farnaz; Rezaeifar, Parisa; Baghizadeh, Elahe; Matin, Samira; Jamalkhani, Sepehr; Tahamtan, Ouria; Sharif-Kashani, Babak; Beigmohammadi, Mohammad Taghi; Farrokhpour, Mohsen; Sezavar, Seyed Hashem; Payandemehr, Pooya; Dabbagh, Ali; Moghadam, Keivan Gohari; Khalili, Hossein; Yadollahzadeh, Mahdi; Riahi, Taghi; Abedini, Atefeh; Lookzadeh, Somayeh; Rahmani, Hamid; Zoghi, Elnaz; Mohammadi, Keyhan; Sadeghipour, Pardis; Abri, Homa; Tabrizi, Sanaz; Mousavian, Seyed Masoud; Shahmirzaei, Shaghayegh; Amin, Ahmad; Mohebbi, Bahram; Parhizgar, Seyed Ehsan; Aliannejad, Rasoul; Eslami, Vahid; Kashefizadeh, Alireza; Dobesh, Paul P.; Kakavand, Hessam; Hosseini, Seyed Hossein; Shafaghi, Shadi; Ghazi, Samrand Fattah; Najafi, Atabak; Jimenez, David; Gupta, Aakriti; Madhavan, Mahesh V.; Sethi, Sanjum S.; Parikh, Sahil A.; Monreal, Manuel; Hadavand, Naser; Hajighasemi, Alireza; Maleki, Majid; Sadeghian, Saeed; Piazza, Gregory; Kirtane, Ajay J.; Van Tassell, Benjamin W.; Stone, Gregg W.; Lip, Gregory Y. H.; Krumholz, Harlan M.; Goldhaber, Samuel Z.; Sadeghipour, Parham",,,,THROMBOSIS AND HAEMOSTASIS,,2021,,,,,,,,,10.1055/a-1485-2372,,,0,0,0
Immune Profiling to Determine Early Disease Trajectories Associated With Coronavirus Disease 2019 Mortality Rate: A Substudy from the ACTT-1 Trial,"Thiede, Joshua M.; Gress, Abigail R.; Libby, Samuel D.; Ronayne, Christine E.; Matchett, William E.; Noren, Brooke; Billings, Joanne L.; Menachery, Vineet D.; Langlois, Ryan A.; Kline, Susan; Bold, Tyler D.",,,,JOURNAL OF INFECTIOUS DISEASES,APR 15 2021,2021,223,8,,,,1339,1344,,10.1093/infdis/jiab035,,,0,0,0
The effect of propolis plus Hyoscyamus niger L. methanolic extract on clinical symptoms in patients with acute respiratory syndrome suspected to COVID-19: A clinical trial,"Kosari, Morteza; Noureddini, Mehdi; Khamechi, Seyed Peyman; Najafi, Ahmad; Ghaderi, Amir; Sehat, Mojtaba; Banafshe, Hamid Reza",,,,PHYTOTHERAPY RESEARCH,,2021,,,,,,,,,10.1002/ptr.7116,,,0,0,0
Monitoring advances including consent: learning from COVID-19 trials and other trials running in UKCRC registered clinical trials units during the pandemic,"Love, Sharon B.; Armstrong, Emma; Bayliss, Carrie; Boulter, Melanie; Fox, Lisa; Grumett, Joanne; Rafferty, Patricia; Temesi, Barbara; Wills, Krista; Corkhill, Andrea",,,,TRIALS,APR 14 2021,2021,22,1,,,,,,279,10.1186/s13063-021-05225-5,,,0,0,0
Conducting clinical trials during the COVID-19 pandemic-a collaborative trial network response,"Robison, Laura; Cho, Yeoungjee; Viecelli, Andrea K.; Johnson, David W.; Hawley, Carmel M.; Valks, Andrea; Paul-Brent, Peta-Anne; Stastny, Ruth; Varghese, Julie; Kiriwandeniya, Charani; Pascoe, Elaine M.; Vergara, Liza A.; Fahim, Magid A.; Boudville, Neil; Krishnasamy, Rathika; Reidlinger, Donna",Australasian Kidney Trials Network,,,TRIALS,APR 14 2021,2021,22,1,,,,,,278,10.1186/s13063-021-05200-0,,,0,0,0
"A randomized, double-blind, placebo-controlled phase III clinical trial to evaluate the efficacy and safety of SARS-CoV-2 vaccine (inactivated, Vero cell): a structured summary of a study protocol for a randomised controlled trial","Akova, Murat; Unal, Serhat",,,,TRIALS,APR 13 2021,2021,22,1,,,,,,276,10.1186/s13063-021-05180-1,,,0,0,0
A stepped wedge cluster randomized control trial to evaluate the implementation and effectiveness of optimized initiatives in improving quality of care for ST segment elevation myocardial infarction in response to the COVID-19 outbreak,"Zhou, Shuduo; Dong, Xuejie; Liu, Fangjing; Zhang, Yan; Yue, Dahai; Zhou, Qiang; Jin, Yinzi; Zheng, Zhi-Jie",,,,IMPLEMENTATION SCIENCE,APR 12 2021,2021,16,1,,,,,,38,10.1186/s13012-021-01107-1,,,0,0,0
A risk assessment tool for resumption of research activities during the COVID-19 pandemic for field trials in low resource settings,"Simkovich, Suzanne M.; Thompson, Lisa M.; Clark, Maggie L.; Balakrishnan, Kalpana; Bussalleu, Alejandra; Checkley, William; Clasen, Thomas; Davila-Roman, Victor G.; Diaz-Artiga, Anaite; Dusabimana, Ephrem; Fuentes, Lisa de las; Harvey, Steven; Kirby, Miles A.; Lovvorn, Amy; McCollum, Eric D.; Mollinedo, Erick E.; Peel, Jennifer L.; Quinn, Ashlinn; Rosa, Ghislaine; Underhill, Lindsay J.; Williams, Kendra N.; Young, Bonnie N.; Rosenthal, Joshua",HAPIN Investigators,,,BMC MEDICAL RESEARCH METHODOLOGY,APR 12 2021,2021,21,1,,,,,,68,10.1186/s12874-021-01232-x,,,0,0,0
Effectiveness of Theory-Based Health Information Technology Interventions on Coronary Artery Disease Self-Management Behavior: A Clinical Randomized Waitlist-Controlled Trial,"Hong, Pei-Chen; Chen, Kuan-Jung; Chang, Yue-Cune; Cheng, Shu-Meng; Chiang, Hui-Hsun",,,,JOURNAL OF NURSING SCHOLARSHIP,,2021,,,,,,,,,10.1111/jnu.12661,,,0,0,0
A randomized clinical trial evaluating the immunomodulatory effect of convalescent plasma on COVID-19-related cytokine storm,"Pouladzadeh, Mandana; Safdarian, Mehdi; Eshghi, Peyman; Abolghasemi, Hassan; Bavani, Alireza Ghorbani; Sheibani, Behnam; Choghakabodi, Parastoo Moradi; Feghhi, Abdolaziz; Boroujerdnia, Mehri Ghafourian; Forouzan, Arash; Far, Mohammad Ali Jalali; Kaydani, Gholam Abbas; Rajaei, Elham; Amin, Mansour; Torabizadeh, Mehdi; Yousefi, Farid; Hadaddezfuli, Reza",,,,INTERNAL AND EMERGENCY MEDICINE,,2021,,,,,,,,,10.1007/s11739-021-02734-8,,,0,0,0
Supporting Parents & Kids Through Lockdown Experiences (SPARKLE): A digital parenting support app implemented in an ongoing general population cohort study during the COVID-19 pandemic: A structured summary of a study protocol for a randomised controlled trial,"Kostyrka-Allchorne, Katarzyna; Creswell, Cathy; Byford, Sarah; Day, Crispin; Goldsmith, Kimberley; Koch, Marta; Gutierrez, Walter Muruet; Palmer, Melanie; Raw, Jasmine; Robertson, Olly; Shearer, James; Shum, Adrienne; Slovak, Petr; Waite, Polly; Sonuga-Barke, Edmund J. S.",,,,TRIALS,APR 10 2021,2021,22,1,,,,,,267,10.1186/s13063-021-05226-4,,,0,0,0
Natural unblinding of BCG vaccination trials,"Szigeti, Reka; Kellermayer, Richard",,,,VACCINE,APR 8 2021,2021,39,15,,,,2017,2019,,10.1016/j.vaccine.2021.03.039,,,0,0,0
The COVID-19 pandemic and new clinical trial activations,"Unger, Joseph M.; Xiao, Hong",,,,TRIALS,APR 8 2021,2021,22,1,,,,,,260,10.1186/s13063-021-05219-3,,,0,0,0
Update to the effectiveness and cost-effectiveness of a mindfulness training programme in schools compared with normal school provision (MYRIAD): study protocol for a randomised controlled trial,"Montero-Marin, Jesus; Nuthall, Elizabeth; Byford, Sarah; Crane, Catherine; Dalgleish, Tim; Ford, Tamsin; Ganguli, Poushali; Greenberg, Mark T.; Ukoumunne, Obioha C.; Viner, Russell M.; Williams, J. Mark G.; Ahmed, Saz; Kuyken, Willem",,,,TRIALS,APR 7 2021,2021,22,1,,,,,,254,10.1186/s13063-021-05213-9,,,0,0,0
Treatment-Dose LMWH versus Prophylactic/Intermediate Dose Heparins in High-Risk COVID-19 Inpatients: Rationale and Design of the HEP-COVID Trial,"Goldin, Mark; Giannis, Dimitrios; Diab, Wassim; Wang, Janice; Khanijo, Sameer; Sharifova, Gulru; Cohen, Marc; Lund, Jeet M.; Mignatti, Andrea; Gianos, Eugenia; Tafur, Alfonso; Lewis, Paul A.; Cohoon, Kevin; Kittelson, John M.; Lesser, Martin L.; Sison, Cristina P.; Rahman, Husneara; Ochani, Kanta; Hiatt, William R.; Dale, Rita A.; Anderson, Victoria E.; Bonaca, Marc; Halperin, Jonathan L.; Weitz, Jeffrey I.; Spyropoulos, Alex C.",,,,THROMBOSIS AND HAEMOSTASIS,,2021,,,,,,,,,10.1055/a-1475-2351,,,0,0,0
The Healing Hearts Together Randomized Controlled Trial and the COVID-19 Pandemic: A Tutorial for Transitioning From an In-Person to a Web-Based Intervention,"Lalande, Kathleen; Greenman, Paul S.; Bouchard, Karen; Johnson, Susan M.; Tulloch, Heather",,,,JOURNAL OF MEDICAL INTERNET RESEARCH,APR 6 2021,2021,23,4,,,,,,e25502,10.2196/25502,,,0,0,0
Short Communication: Combining Ethics With Efficiency-Israel Defense Forces Experience in Clinical Trials During the Coronavirus Disease 2019 Pandemic,"Muginshtein-Simkovitch, Evgenia; Kayouf, Raeed; Twig, Gilad; Ketko, Itay; Bader, Tarif; Fink, Noam",,,,JOURNAL OF EMPIRICAL RESEARCH ON HUMAN RESEARCH ETHICS,,2021,,,,,,,,1.55626E+16,10.1177/15562646211007220,,,0,0,0
Resilience and ongoing quality care for cancer clinical trials during COVID-19: Experience from a tertiary hospital in Australia,"Ives, Amy; Pusztai, Tricia; Keller, Jacqui; Ahern, Elizabeth; Chan, Bryan; Gasper, Harry; Wyld, David; Kennedy, Glen; Dickie, Graeme; Lwin, Zarnie; Roberts, Natasha A.",,,,ASIA-PACIFIC JOURNAL OF CLINICAL ONCOLOGY,,2021,,,,,,,,,10.1111/ajco.13570,,,0,0,0
COVID-19 and the Emerging Regulatory Guidance for Ongoing Clinical Trials in the European Union,"de Jong, Amos Jochanan; Santa-Ana-Tellez, Yared; van Thiel, Ghislaine Jose Madeleine Wilhelmien; Zuidgeest, Mira Gerta Petra; Siiskonen, Satu Johanna; Mistry, Dinesh; de Boer, Anthonius; Gardarsdottir, Helga",Trials Home Consortium,,,CLINICAL PHARMACOLOGY & THERAPEUTICS,JUN 2021,2021,109,6,,,,1517,1527,,10.1002/cpt.2225,,,0,0,0
"COVID-19 Requires Innovation, Regulation and Rigor: Amaylid Arteaga-Garcia MD MS Director, National Clinical Trials Coordinating Center (CENCEC)","Aguilar-Guerra, Tania L.; Gorry, Conner",,,,MEDICC REVIEW,APR 2021,2021,23,2,,,,9,11,,10.37757/MR2021.V23.N2.16,,,0,0,0
Itraconazole for COVID-19: preclinical studies and a proof-of-concept randomized clinical trial,"Liesenborghs, Laurens; Spriet, Isabel; Jochmans, Dirk; Belmans, Ann; Gyselinck, Iwein; Teuwen, Laure-Anne; ter Horst, Sebastiaan; Dreesen, Erwin; Geukens, Tatjana; Engelen, Matthias M.; Landeloos, Ewout; Geldhof, Vincent; Ceunen, Helga; Debaveye, Barbara; Vandenberk, Bert; van der Linden, Lorenz; Jacobs, Sofie; Langendries, Lana; Boudewijns, Robbert; Do, Thuc Nguyen Dan; Chiu, Winston; Wang, Xinyu; Zhang, Xin; Weynand, Birgit; Vanassche, Thomas; Devos, Timothy; Meyfroidt, Geert; Janssens, Wim; Vos, Robin; Vermeersch, Pieter; Wauters, Joost; Verbeke, Geert; De Munter, Paul; Kaptein, Suzanne J. F.; Rocha-Pereira, Joana; Delang, Leen; Van Wijngaerden, Eric; Neyts, Johan; Verhamme, Peter",,,,EBIOMEDICINE,APR 2021,2021,66,,,,,,,103288,10.1016/j.ebiom.2021.103288,,,0,0,0
A Web-Based Lifestyle Intervention Aimed at Improving Cognition in Patients With Cancer Returning to Work in an Outpatient Setting: Protocol for a Randomized Controlled Trial,"Drijver, A. Josephine; Reijneveld, Jaap C.; Wesselman, Linda M. P.; Klein, Martin",,,,JMIR RESEARCH PROTOCOLS,APR 2021,2021,10,4,,,,,,e22670,10.2196/22670,,,0,0,0
"Pregnancy Outcomes and Child Development Effects of SARS-CoV-2 Infection (PROUDEST Trial): Protocol for a Multicenter, Prospective Cohort Study","Fernandes, Geraldo Magela; Motta, Felipe; Sasaki, Lizandra Moura Paravidine; Da Silva, Angelo Pereira; Miranda, Andreza Monforte; De Carvalho, Aleida Oliveira; Gomides, Ana Paula Monteiro; Soares, Alexandre Anderson De Sousa Munhoz; Dos Santos Jr, Agenor De Castro Moreira; Alves, Caroline De Oliveira; Gomes, Ciro Martins; De Siracusa, Clara Correia; De Araujo Jr, David Alves; Mendonca-Silva, Dayde Lane; De Jesus, Jose Alfredo Lacerda; Costa, Karina Nascimento; De Castro, Maria Eduarda Canellas; Kurizky, Patricia Shu; Franca, Paulo Sergio; Tristao, Rosana; Pereira, Yacara Ribeiro; De Castro, Luiz Claudio Goncalves; Zaconeta, Alberto Moreno; De Albuquerque, Cleandro Pires; Da Mota, Licia Maria Henrique",,,,JMIR RESEARCH PROTOCOLS,APR 2021,2021,10,4,,,,,,e26477,10.2196/26477,,,0,0,0
Impact of Face-to-Face Teaching in Addition to Electronic Learning on Personal Protective Equipment Doffing Proficiency in Student Paramedics: Protocol for a Randomized Controlled Trial,"Stuby, Loric; Currat, Ludivine; Gartner, Birgit; Mayoraz, Mathieu; Harbarth, Stephan; Suppan, Laurent; Suppan, Melanie",,,,JMIR RESEARCH PROTOCOLS,APR 2021,2021,10,4,,,,,,e26927,10.2196/26927,,,0,0,0
"RBD-specific polyclonal F(ab ')(2) fragments of equine antibodies in patients with moderate to severe COVID-19 disease: A randomized, multicenter, double-blind, placebo-controlled, adaptive phase 2/3 clinical trial","Lopardo, Gustavo; Belloso, Waldo H.; Nannini, Esteban; Colonna, Mariana; Sanguineti, Santiago; Zylberman, Vanesa; Munoz, Luciana; Dobarro, Martin; Lebersztein, Gabriel; Farina, Javier; Vidiella, Gabriela; Bertetti, Anselmo; Crudo, Favio; Fernanda Alzogaray, Maria; Barcelona, Laura; Teijeiro, Ricardo; Lambert, Sandra; Scublinsky, Dario; Iacono, Marisa; Stanek, Vanina; Solari, Ruben; Cruz, Pablo; Martin Casas, Marcelo; Abusamra, Lorena; Lucas Luciardi, Hector; Cremona, Alberto; Caruso, Diego; de Miguel, Bernardo; Perez Lloret, Santiago; Millan, Susana; Kilstein, Yael; Pereiro, Ana; Sued, Omar; Cahn, Pedro; Spatz, Linus; Goldbaum, Fernando",INM005 Study Grp,,,ECLINICALMEDICINE,APR 2021,2021,34,,,,,,,100843,10.1016/j.eclinm.2021.100843,,,0,0,0
"RAMIC: Design of a randomized, double-blind, placebo-controlled trial to evaluate the efficacy of ramipril in patients with COVID-19","Ajmera, Veeral; Thompson, Wesley K.; Smith, Davey M.; Malhotra, Atul; Mehta, Ravindra L.; Tolia, Vaishal; Yin, Jeffrey; Sriram, Krishna; Insel, Paul A.; Collier, Summer; Richards, Lisa; Loomba, Rohit",,,,CONTEMPORARY CLINICAL TRIALS,APR 2021,2021,103,,,,,,,106330,10.1016/j.cct.2021.106330,,,0,0,0
Improving racial disparities in unmet palliative care needs among intensive care unit family members with a needs-targeted app intervention: The ICUconnect randomized clinical trial,"Cox, Christopher E.; Riley, Isaretta L.; Ashana, Deepshikha C.; Haines, Krista; Olsen, Maren K.; Gu, Jessie; Pratt, Elias H.; Al-Hegelan, Mashael; Harrison, Robert W.; Naglee, Colleen; Frear, Allie; Yang, Hongqiu; Johnson, Kimberly S.; Docherty, Sharron L.",,,,CONTEMPORARY CLINICAL TRIALS,APR 2021,2021,103,,,,,,,106319,10.1016/j.cct.2021.106319,,,0,0,0
A randomised trial of Mycobacterium w in critically ill patients with COVID-19: ARMY-1,"Sehgal, Inderpaul Singh; Guleria, Randeep; Singh, Sarman; Siddiqui, Mohammad Sabah; Agarwal, Ritesh",ARMY Trial Study Grp,,,ERJ OPEN RESEARCH,APR 1 2021,2021,7,2,,,,,,00059-2021,10.1183/23120541.00059-2021,,,0,0,0
Proposing Minimum Requirements for Announcing Clinical Trial Results During the COVID-19 Pandemic,"Siedner, Mark J.; Gandhi, Rajesh T.",,,,CLINICAL INFECTIOUS DISEASES,APR 1 2021,2021,72,7,,,,1265,1267,,10.1093/cid/ciaa945,,,0,0,0
Factors Influencing the Efficacy of COVID-19 Vaccines: A Quantitative Synthesis of Phase III Trials,"Calzetta, Luigino; Ritondo, Beatrice Ludovica; Coppola, Angelo; Matera, Maria Gabriella; Di Daniele, TNicola; Rogliani, Paola",,,,VACCINES,APR 2021,2021,9,4,,,,,,341,10.3390/vaccines9040341,,,0,0,0
Cognitive reappraisal and self-compassion as emotion regulation strategies for parents during COVID-19: An online randomized controlled trial,"Preuss, Hanna; Capito, Klara; van Eickels, Rahel Lea; Zemp, Martina; Kolar, David Raphael",,,,INTERNET INTERVENTIONS-THE APPLICATION OF INFORMATION TECHNOLOGY IN MENTAL AND BEHAVIOURAL HEALTH,APR 2021,2021,24,,,,,,,100388,10.1016/j.invent.2021.100388,,,0,0,0
A Canadian Prospective Study of Linkage of Randomized Clinical Trial to Cancer and Mortality Registry Data,"Hay, Annette E.; Mittmann, Nicole; Crump, Michael; Cheung, Matthew C.; Sleeth, Jessica; Needham, Judy; Broekhoven, Mike; Djurfeldt, Marina; Shepherd, Lois E.; Meyer, Ralph M.; Chen, Bingshu E.; Pater, Joseph L.",,,,CURRENT ONCOLOGY,APR 2021,2021,28,2,,,,1153,1160,,10.3390/curroncol28020111,,,0,0,0
Comparison of Mc Grath-MAC and C-MAC video laryngoscopes for intubation in a COVID simulated mannequin by novice users wearing face protective gear: A randomized crossover trial,"Vig, Saurabh; Bhan, Swati; Gupta, Nishkarsh; Meena, Jitendra Kumar; Bhatnagar, Sushma",,,,SAUDI JOURNAL OF ANAESTHESIA,APR-JUN 2021,2021,15,2,,,,131,136,,10.4103/sja.sja_1058_20,,,0,0,0
Randomized controlled trials of remdesivir in hospitalized coronavirus disease 2019 patients: A meta-analysis,"Sarfraz, Azza; Sarfraz, Zouina; Sanchez-Gonzalez, Marcos; Michel, Jack; Michel, George; Frontela, Odalys; Posada, Jorge; Cardona, Jose; Angueira, Eugenio",,,,TURKISH JOURNAL OF EMERGENCY MEDICINE,APR-JUN 2021,2021,21,2,,,,43,50,,10.4103/2452-2473.309139,,,0,0,0
"Effect of Wearing Personal Protective Equipment (PPE) on CPR Quality in Times of the COVID-19 Pandemic-A Simulation, Randomised Crossover Trial","Rauch, Simon; van Veelen, Michiel Jan; Oberhammer, Rosmarie; Dal Cappello, Tomas; Roveri, Giulia; Gruber, Elisabeth; Strapazzon, Giacomo",,,,JOURNAL OF CLINICAL MEDICINE,APR 2021,2021,10,8,,,,,,1728,10.3390/jcm10081728,,,0,0,0
Effects of Different Dialysis Strategies on Inflammatory Cytokine Profile in Maintenance Hemodialysis Patients with COVID-19: A Randomized Trial,"Esposito, Pasquale; Cipriani, Leda; Verzola, Daniela; Grignano, Maria Antonietta; De Amici, Mara; Testa, Giorgia; Grosjean, Fabrizio; Russo, Elisa; Garibotto, Giacomo; Rampino, Teresa; Viazzi, Francesca",,,,JOURNAL OF CLINICAL MEDICINE,APR 2021,2021,10,7,,,,,,1383,10.3390/jcm10071383,,,0,0,0
Rethinking Consent for Stroke Trials in Time-Sensitive Situations Insights From the COVID-19 Pandemic,"Goyal, Mayank; Ospel, Johanna Maria; Ganesh, Aravind; Marko, Martha; Fisher, Marc",,,,STROKE,APR 2021,2021,52,4,,,,1527,1531,,10.1161/STROKEAHA.120.031976,,,0,0,0
"Hydroxychloroquine versus Azithromycin for Hospitalized Patients with COVID-19 Results of a Randomized, Active Comparator Trial","Brown, Samuel M.; Peltan, Ithan; Kumar, Naresh; Leither, Lindsay; Webb, Brandon J.; Starr, Nathan; Grissom, Colin K.; Buckel, Whitney R.; Srivastava, Rajendu; Butler, Allison M.; Groat, Danielle; Haaland, Benjamin; Ying, Jian; Harris, Estelle; Johnson, Stacy; Paine, Robert, III; Greene, Tom",,,,ANNALS OF THE AMERICAN THORACIC SOCIETY,APR 2021,2021,18,4,,,,590,597,,10.1513/AnnalsATS.202008-940OC,,,0,0,0
Breast cancer patients' insurance status and residence zip code correlate with early discontinuation of endocrine therapy: An analysis of the ECOG-ACRIN TAILORx trial,"Sadigh, Gelareh; Gray, Robert J.; Sparano, Joseph A.; Yanez, Betina; Garcia, Sofia F.; Timsina, Lava R.; Sledge, George W.; Cella, David; Wagner, Lynne I.; Carlos, Ruth C.",,,,CANCER,,2021,,,,,,,,,10.1002/cncr.33527,,,0,0,0
"The pilot, proof of concept REMOTE-COVID trial: remote monitoring use in suspected cases of COVID-19 (SARS-CoV 2)","Iqbal, Fahad Mujtaba; Joshi, Meera; Davies, Gary; Khan, Sadia; Ashrafian, Hutan; Darzi, Ara",,,,BMC PUBLIC HEALTH,APR 1 2021,2021,21,1,,,,,,638,10.1186/s12889-021-10660-9,,,0,0,0
Can tele-nursing affect the supportive care needs of patients with cancer undergoing chemotherapy? A randomized controlled trial follow-up study,"Ebrahimabadi, Maryam; Rafiei, Fatemeh; Nejat, Nazi",,,,SUPPORTIVE CARE IN CANCER,,2021,,,,,,,,,10.1007/s00520-021-06056-5,,,0,0,0
Telehealth strategy to mitigate the negative psychological impact of the COVID-19 pandemic on type 2 diabetes: A randomized controlled trial,"Alessi, Janine; de Oliveira, Giovana Berger; Franco, Debora Wilke; Becker, Alice Scalzilli; Knijnik, Carolina Padilla; Kobe, Gabriel Luiz; Amaral, Bibiana Brino; de Brito, Ariane; Schaan, Beatriz D.; Telo, Gabriela Heiden",,,,ACTA DIABETOLOGICA,JUL 2021,2021,58,7,,,,899,909,,10.1007/s00592-021-01690-1,,,0,0,0
How do nocebo effects in placebo groups of randomized controlled trials provide a possible explicative framework for the COVID-19 pandemic?,"Amanzio, Martina; Cipriani, Giuseppina Elena; Bartoli, And Massimo",,,,EXPERT REVIEW OF CLINICAL PHARMACOLOGY,APR 3 2021,2021,14,4,,,,439,444,,10.1080/17512433.2021.1900728,,,0,0,0
